 1.36664E-02  2.36209E-02 -6.40181E+00 -5.76409E+00
 2.36209E-02  3.58820E-02 -5.76409E+00 -5.12070E+00
 3.58820E-02  5.09546E-02 -5.12070E+00 -4.46870E+00
 5.09546E-02  6.94376E-02 -4.46870E+00 -3.80447E+00
 6.94376E-02  9.20141E-02 -3.80447E+00 -3.12357E+00
 9.20141E-02  1.19403E-01 -3.12357E+00 -2.42059E+00
 1.19403E-01  1.52233E-01 -2.42059E+00 -1.68896E+00
 1.52233E-01  1.90763E-01 -1.68896E+00 -9.20788E-01
 1.90763E-01  2.34333E-01 -9.20788E-01 -1.06834E-01
 2.34333E-01  2.80392E-01 -1.06834E-01  7.63360E-01
 2.80392E-01  3.23003E-01  7.63360E-01  1.70085E+00
 3.23003E-01  3.51091E-01  1.70085E+00  2.71586E+00
 3.51091E-01  3.47669E-01  2.71586E+00  3.81513E+00
 3.47669E-01  2.93155E-01  3.81513E+00  4.99784E+00
 2.93155E-01  1.77064E-01  4.99784E+00  6.25091E+00
 1.77064E-01  1.68817E-02  6.25091E+00  7.54647E+00
 1.68817E-02 -1.37836E-01  7.54647E+00  8.84609E+00
-1.37836E-01 -2.36519E-01  8.84609E+00  1.01126E+01
-2.36519E-01 -2.49035E-01  1.01126E+01  1.13224E+01
-2.49035E-01 -1.95933E-01  1.13224E+01  1.24724E+01
-1.95933E-01 -1.60453E-01  1.24724E+01  1.35754E+01
-1.60453E-01  8.02267E-02  1.35754E+01  1.46398E+01
 1.46130E-02 -2.92259E-02 -1.93212E+01 -1.85804E+01
-2.92259E-02 -1.81472E-02 -1.85804E+01 -1.78467E+01
-1.81472E-02 -2.17897E-02 -1.78467E+01 -1.71173E+01
-2.17897E-02 -2.14905E-02 -1.71173E+01 -1.63931E+01
-2.14905E-02 -2.22463E-02 -1.63931E+01 -1.56741E+01
-2.22463E-02 -2.27134E-02 -1.56741E+01 -1.49604E+01
-2.27134E-02 -2.32457E-02 -1.49604E+01 -1.42522E+01
